t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3,x4,y4,vx4,vy4,x5,y5,vx5,vy5,x6,y6,vx6,vy6,x7,y7,vx7,vy7,x8,y8,vx8,vy8,x9,y9,vx9,vy9,x10,y10,vx10,vy10,x11,y11,vx11,vy11,x12,y12,vx12,vy12,x13,y13,vx13,vy13,x14,y14,vx14,vy14,x15,y15,vx15,vy15,x16,y16,vx16,vy16,x17,y17,vx17,vy17,x18,y18,vx18,vy18,x19,y19,vx19,vy19,x20,y20,vx20,vy20,x21,y21,vx21,vy21,x22,y22,vx22,vy22,x23,y23,vx23,vy23,x24,y24,vx24,vy24,x25,y25,vx25,vy25,x26,y26,vx26,vy26,x27,y27,vx27,vy27,x28,y28,vx28,vy28,x29,y29,vx29,vy29,x30,y30,vx30,vy30,x31,y31,vx31,vy31,x32,y32,vx32,vy32,x33,y33,vx33,vy33,x34,y34,vx34,vy34,x35,y35,vx35,vy35
0,2.85714,2.85714,-0.63313,0.593086,2.85714,5.71429,0.1937,0.559382,2.85714,8.57143,-0.80005,-0.108334,2.85714,11.4286,-0.332583,-0.0815022,2.85714,14.2857,0.301777,-0.714266,2.85714,17.1429,0.443998,-0.887177,5.71429,2.85714,-0.998442,0.877105,5.71429,5.71429,0.234963,0.984423,5.71429,8.57143,-0.985867,0.223306,5.71429,11.4286,0.0495493,-0.953875,5.71429,14.2857,-0.906669,-0.200278,5.71429,17.1429,-0.534457,0.947511,8.57143,2.85714,0.236772,-0.818787,8.57143,5.71429,0.966462,-0.235076,8.57143,8.57143,0.719881,-0.0664742,8.57143,11.4286,-0.0990015,0.360615,8.57143,14.2857,0.884404,-0.97347,8.57143,17.1429,-0.229167,0.126576,11.4286,2.85714,-0.538212,-0.968067,11.4286,5.71429,0.366527,-0.517949,11.4286,8.57143,0.66639,0.219993,11.4286,11.4286,-0.217879,-0.653271,11.4286,14.2857,0.510723,-0.635528,11.4286,17.1429,-0.584117,-0.149688,14.2857,2.85714,-0.937373,0.135401,14.2857,5.71429,-0.100492,0.68457,14.2857,8.57143,0.853318,-0.2097,14.2857,11.4286,-0.346918,0.454544,14.2857,14.2857,0.0416685,0.140888,14.2857,17.1429,0.689068,0.922344,17.1429,2.85714,0.0793843,0.49464,17.1429,5.71429,0.930511,0.173502,17.1429,8.57143,-0.448002,0.214068,17.1429,11.4286,-0.669466,-0.407453,17.1429,14.2857,-0.153197,-0.968727,17.1429,17.1429,-0.413024,-0.210237
0.005,2.85398,2.86011,-0.633047,0.593169,2.85811,5.71708,0.193788,0.559383,2.85314,8.57089,-0.799962,-0.108335,2.85548,11.4282,-0.332495,-0.081502,2.85865,14.2821,0.301865,-0.714268,2.85936,17.1384,0.444081,-0.88726,5.70929,2.86153,-0.998442,0.877193,5.71546,5.71921,0.234964,0.984425,5.70936,8.57255,-0.985867,0.223307,5.71453,11.4238,0.0495507,-0.953876,5.70975,14.2847,-0.906669,-0.20028,5.71161,17.1476,-0.534457,0.947424,8.57261,2.85305,0.236773,-0.818699,8.57626,5.71311,0.966462,-0.235075,8.57503,8.5711,0.719882,-0.0664742,8.57093,11.4304,-0.0990013,0.360616,8.57585,14.2808,0.884405,-0.973472,8.57028,17.1435,-0.229167,0.126489,11.4259,2.8523,-0.538213,-0.96798,11.4304,5.7117,0.366527,-0.517948,11.4319,8.57253,0.66639,0.219994,11.4275,11.4253,-0.217879,-0.653271,11.4311,14.2825,0.510723,-0.635529,11.4257,17.1421,-0.584117,-0.149776,14.281,2.85782,-0.937375,0.135488,14.2852,5.71771,-0.100494,0.684571,14.29,8.57038,0.853317,-0.2097,14.284,11.4308,-0.34692,0.454544,14.2859,14.2864,0.0416672,0.140886,14.2892,17.1475,0.689068,0.922256,17.1433,2.85962,0.0793019,0.494723,17.1475,5.71515,0.930423,0.173503,17.1406,8.5725,-0.44809,0.214069,17.1395,11.4265,-0.669554,-0.407453,17.1421,14.2809,-0.153285,-0.968729,17.1408,17.1418,-0.413107,-0.210319
0.01,2.85081,2.86307,-0.632964,0.593252,2.85908,5.71988,0.193876,0.559385,2.84914,8.57035,-0.799873,-0.108336,2.85382,11.4278,-0.332407,-0.0815014,2.86016,14.2786,0.301955,-0.714269,2.86158,17.134,0.444165,-0.887343,5.7043,2.86591,-0.998443,0.877281,5.71664,5.72413,0.234964,0.984427,5.70443,8.57366,-0.985868,0.223307,5.71478,11.419,0.0495523,-0.953878,5.70522,14.2837,-0.906672,-0.200282,5.70894,17.1523,-0.534458,0.947337,8.5738,2.84896,0.236776,-0.818612,8.58109,5.71193,0.966464,-0.235073,8.57863,8.57076,0.719884,-0.0664743,8.57044,11.4322,-0.0990008,0.360618,8.58027,14.276,0.884407,-0.973477,8.56914,17.1441,-0.229165,0.126403,11.4232,2.84746,-0.538213,-0.967892,11.4322,5.70911,0.366527,-0.517947,11.4352,8.57363,0.666389,0.219996,11.4264,11.422,-0.217879,-0.653272,11.4337,14.2794,0.510722,-0.635531,11.4227,17.1414,-0.58412,-0.149863,14.2763,2.8585,-0.937378,0.135575,14.2847,5.72113,-0.100497,0.684575,14.2942,8.56933,0.853318,-0.209702,14.2822,11.4331,-0.34692,0.454545,14.2861,14.2871,0.0416657,0.140883,14.2926,17.1521,0.68907,0.922169,17.1437,2.86209,0.0792207,0.494806,17.1522,5.71602,0.930336,0.173504,17.1384,8.57357,-0.44818,0.21407,17.1362,11.4245,-0.669643,-0.407453,17.1413,14.276,-0.153374,-0.968731,17.1387,17.1408,-0.413191,-0.210401
0.015,2.84765,2.86604,-0.63288,0.593335,2.86005,5.72268,0.193963,0.559388,2.84514,8.5698,-0.799784,-0.108337,2.85216,11.4273,-0.33232,-0.0815002,2.86167,14.275,0.302046,-0.714271,2.8638,17.1295,0.44425,-0.887425,5.69931,2.8703,-0.998446,0.877368,5.71781,5.72905,0.234962,0.98443,5.6995,8.57478,-0.985871,0.223308,5.71503,11.4143,0.0495542,-0.953882,5.70069,14.2827,-0.906677,-0.200284,5.70627,17.1571,-0.53446,0.947251,8.57498,2.84486,0.236781,-0.818525,8.58593,5.71076,0.966468,-0.23507,8.58223,8.57043,0.719888,-0.0664745,8.56994,11.434,-0.0990001,0.360621,8.58469,14.2711,0.884412,-0.973484,8.56799,17.1448,-0.229163,0.126317,11.4205,2.84262,-0.538214,-0.967804,11.4341,5.70652,0.366526,-0.517946,11.4386,8.57473,0.666388,0.22,11.4253,11.4188,-0.217879,-0.653274,11.4362,14.2762,0.510722,-0.635534,11.4198,17.1406,-0.584123,-0.14995,14.2717,2.85918,-0.937382,0.135662,14.2842,5.72455,-0.100501,0.684579,14.2985,8.56828,0.853319,-0.209705,14.2805,11.4354,-0.346921,0.454547,14.2863,14.2878,0.041664,0.140879,14.2961,17.1567,0.689074,0.922082,17.144,2.86456,0.0791405,0.49489,17.1568,5.71689,0.93025,0.173504,17.1361,8.57464,-0.448271,0.214071,17.1328,11.4225,-0.669732,-0.407453,17.1406,14.2712,-0.153462,-0.968735,17.1367,17.1397,-0.413277,-0.210482
0.02,2.84448,2.86901,-0.632796,0.593418,2.86102,5.72547,0.19405,0.559391,2.84115,8.56926,-0.799695,-0.108339,2.85049,11.4269,-0.332233,-0.0814985,2.86318,14.2714,0.302137,-0.714273,2.86603,17.1251,0.444337,-0.887508,5.69432,2.87469,-0.99845,0.877454,5.71898,5.73397,0.23496,0.984434,5.69457,8.57589,-0.985875,0.22331,5.71528,11.4095,0.0495562,-0.953888,5.69615,14.2817,-0.906686,-0.200287,5.7036,17.1618,-0.534464,0.947166,8.57616,2.84077,0.236789,-0.818438,8.59076,5.70958,0.966472,-0.235067,8.58583,8.5701,0.719893,-0.0664748,8.56945,11.4358,-0.0989991,0.360626,8.58912,14.2662,0.884419,-0.973493,8.56685,17.1454,-0.229161,0.126233,11.4178,2.83779,-0.538215,-0.967717,11.4359,5.70393,0.366525,-0.517945,11.4419,8.57583,0.666387,0.220005,11.4242,11.4155,-0.217878,-0.653276,11.4388,14.273,0.510722,-0.635537,11.4169,17.1399,-0.584128,-0.150036,14.267,2.85985,-0.937388,0.135748,14.2837,5.72798,-0.100507,0.684585,14.3028,8.56723,0.853322,-0.20971,14.2788,11.4377,-0.346921,0.454549,14.2865,14.2885,0.0416622,0.140873,14.2995,17.1613,0.689081,0.921996,17.1444,2.86704,0.0790613,0.494974,17.1615,5.71776,0.930164,0.173505,17.1339,8.57571,-0.448363,0.214073,17.1295,11.4204,-0.669821,-0.407453,17.1398,14.2663,-0.153551,-0.96874,17.1346,17.1386,-0.413363,-0.210562
0.025,2.84132,2.87198,-0.632711,0.593501,2.86199,5.72827,0.194137,0.559395,2.83715,8.56872,-0.799605,-0.108342,2.84883,11.4265,-0.332146,-0.0814963,2.86469,14.2679,0.30223,-0.714276,2.86825,17.1207,0.444424,-0.887591,5.68932,2.87908,-0.998455,0.877541,5.72016,5.7389,0.234957,0.984438,5.68964,8.57701,-0.98588,0.223311,5.71552,11.4047,0.0495584,-0.953895,5.69162,14.2807,-0.906696,-0.200291,5.70092,17.1665,-0.534469,0.947081,8.57735,2.83668,0.236798,-0.818352,8.59559,5.70841,0.966477,-0.235064,8.58943,8.56977,0.7199,-0.0664753,8.56895,11.4376,-0.0989979,0.360632,8.59354,14.2614,0.884427,-0.973505,8.5657,17.146,-0.229157,0.12615,11.4151,2.83295,-0.538217,-0.96763,11.4377,5.70134,0.366525,-0.517944,11.4452,8.57693,0.666386,0.220011,11.4231,11.4122,-0.217878,-0.653278,11.4413,14.2698,0.510721,-0.635541,11.414,17.1391,-0.584134,-0.150121,14.2623,2.86053,-0.937395,0.135833,14.2832,5.7314,-0.100515,0.684592,14.307,8.56619,0.853327,-0.209715,14.277,11.4399,-0.346921,0.454552,14.2868,14.2892,0.0416601,0.140866,14.3029,17.1659,0.68909,0.92191,17.1448,2.86951,0.0789832,0.495058,17.1661,5.71862,0.930079,0.173505,17.1317,8.57678,-0.448456,0.214076,17.1261,11.4184,-0.66991,-0.407453,17.139,14.2615,-0.15364,-0.968746,17.1325,17.1376,-0.413451,-0.210641
0.03,2.83816,2.87494,-0.632626,0.593584,2.86296,5.73107,0.194224,0.5594,2.83315,8.56818,-0.799514,-0.108345,2.84717,11.4261,-0.332059,-0.0814935,2.8662,14.2643,0.302324,-0.714279,2.87047,17.1162,0.444512,-0.887673,5.68433,2.88346,-0.998461,0.877627,5.72133,5.74382,0.234953,0.984443,5.68471,8.57813,-0.985888,0.223313,5.71577,11.4,0.0495608,-0.953904,5.68709,14.2797,-0.90671,-0.200294,5.69825,17.1713,-0.534475,0.946998,8.57853,2.83259,0.236809,-0.818266,8.60042,5.70723,0.966484,-0.235061,8.59303,8.56943,0.719909,-0.0664758,8.56846,11.4394,-0.0989964,0.36064,8.59796,14.2565,0.884437,-0.973518,8.56455,17.1466,-0.229153,0.126068,11.4124,2.82811,-0.538219,-0.967544,11.4396,5.69875,0.366524,-0.517944,11.4486,8.57803,0.666384,0.220019,11.422,11.409,-0.217877,-0.653282,11.4439,14.2666,0.51072,-0.635545,11.411,17.1384,-0.584142,-0.150206,14.2576,2.86121,-0.937403,0.135917,14.2827,5.73482,-0.100523,0.6846,14.3113,8.56514,0.853332,-0.209723,14.2753,11.4422,-0.34692,0.454556,14.287,14.2899,0.0416579,0.140858,14.3064,17.1705,0.689101,0.921825,17.1452,2.87199,0.0789061,0.495142,17.1708,5.71949,0.929995,0.173504,17.1294,8.57785,-0.448551,0.214079,17.1228,11.4163,-0.669999,-0.407453,17.1383,14.2567,-0.15373,-0.968754,17.1305,17.1365,-0.41354,-0.210719
0.035,2.83499,2.87791,-0.63254,0.593667,2.86393,5.73386,0.194311,0.559405,2.82915,8.56764,-0.799424,-0.108349,2.84551,11.4257,-0.331973,-0.0814903,2.86772,14.2607,0.302419,-0.714283,2.87269,17.1118,0.444601,-0.887756,5.67934,2.88785,-0.998469,0.877713,5.72251,5.74874,0.234948,0.984449,5.67978,8.57924,-0.985896,0.223316,5.71602,11.3952,0.0495634,-0.953915,5.68255,14.2787,-0.906726,-0.200299,5.69558,17.176,-0.534483,0.946915,8.57972,2.8285,0.236822,-0.81818,8.60526,5.70606,0.966492,-0.235056,8.59662,8.5691,0.719918,-0.0664766,8.56796,11.4412,-0.0989947,0.36065,8.60238,14.2516,0.884449,-0.973534,8.56341,17.1473,-0.229148,0.125988,11.4097,2.82327,-0.538221,-0.967457,11.4414,5.69616,0.366523,-0.517943,11.4519,8.57913,0.666382,0.220028,11.4209,11.4057,-0.217877,-0.653286,11.4464,14.2635,0.51072,-0.63555,11.4081,17.1376,-0.584151,-0.15029,14.2529,2.86189,-0.937412,0.136001,14.2822,5.73825,-0.100533,0.684609,14.3156,8.56409,0.853339,-0.209731,14.2736,11.4445,-0.346919,0.454561,14.2872,14.2906,0.0416555,0.140849,14.3098,17.1751,0.689114,0.92174,17.1456,2.87447,0.07883,0.495226,17.1754,5.72036,0.929912,0.173504,17.1272,8.57892,-0.448647,0.214083,17.1194,11.4143,-0.670089,-0.407453,17.1375,14.2518,-0.15382,-0.968762,17.1284,17.1355,-0.41363,-0.210797
0.04,2.83183,2.88088,-0.632454,0.59375,2.8649,5.73666,0.194397,0.559411,2.82516,8.56709,-0.799333,-0.108354,2.84385,11.4253,-0.331887,-0.0814865,2.86923,14.2571,0.302515,-0.714287,2.87492,17.1074,0.444692,-0.887839,5.67435,2.89224,-0.998478,0.877798,5.72368,5.75366,0.234941,0.984456,5.67485,8.58036,-0.985906,0.223319,5.71627,11.3904,0.0495661,-0.953927,5.67802,14.2777,-0.906745,-0.200304,5.69291,17.1807,-0.534492,0.946832,8.5809,2.82441,0.236837,-0.818095,8.61009,5.70488,0.966502,-0.235052,8.60022,8.56877,0.719929,-0.0664774,8.56747,11.443,-0.0989926,0.360661,8.60681,14.2468,0.884463,-0.973553,8.56226,17.1479,-0.229143,0.125908,11.407,2.81843,-0.538224,-0.967371,11.4432,5.69357,0.366521,-0.517943,11.4552,8.58023,0.66638,0.220039,11.4199,11.4024,-0.217876,-0.65329,11.449,14.2603,0.510719,-0.635555,11.4052,17.1369,-0.584161,-0.150374,14.2482,2.86257,-0.937423,0.136085,14.2817,5.74167,-0.100544,0.68462,14.3198,8.56304,0.853348,-0.209741,14.2718,11.4468,-0.346918,0.454566,14.2874,14.2913,0.0416528,0.140838,14.3133,17.1797,0.689129,0.921656,17.146,2.87694,0.078755,0.495311,17.1801,5.72123,0.929828,0.173503,17.1249,8.57999,-0.448744,0.214087,17.1161,11.4123,-0.670179,-0.407453,17.1367,14.247,-0.15391,-0.968771,17.1263,17.1344,-0.413721,-0.210873
0.045,2.82867,2.88385,-0.632368,0.593833,2.86588,5.73946,0.194483,0.559418,2.82116,8.56655,-0.799241,-0.108359,2.84219,11.4249,-0.331801,-0.0814821,2.87074,14.2536,0.302613,-0.714291,2.87714,17.1029,0.444783,-0.887921,5.66936,2.89663,-0.998489,0.877883,5.72486,5.75859,0.234934,0.984464,5.66992,8.58148,-0.985917,0.223322,5.71652,11.3856,0.049569,-0.95394,5.67348,14.2767,-0.906767,-0.200309,5.69023,17.1855,-0.534502,0.946751,8.58208,2.82032,0.236854,-0.818011,8.61492,5.70371,0.966512,-0.235047,8.60382,8.56844,0.719942,-0.0664784,8.56697,11.4448,-0.0989903,0.360673,8.61123,14.2419,0.884478,-0.973573,8.56112,17.1485,-0.229136,0.125829,11.4044,2.8136,-0.538227,-0.967285,11.4451,5.69098,0.36652,-0.517942,11.4586,8.58133,0.666377,0.220051,11.4188,11.3992,-0.217875,-0.653296,11.4516,14.2571,0.510718,-0.635561,11.4023,17.1361,-0.584172,-0.150457,14.2435,2.86325,-0.937435,0.136167,14.2812,5.74509,-0.100556,0.684632,14.3241,8.56199,0.853358,-0.209752,14.2701,11.449,-0.346916,0.454572,14.2876,14.2921,0.04165,0.140826,14.3167,17.1843,0.689146,0.921572,17.1464,2.87942,0.0786809,0.495396,17.1847,5.72209,0.929746,0.173502,17.1227,8.58106,-0.448842,0.214092,17.1127,11.4102,-0.670269,-0.407453,17.1359,14.2421,-0.154,-0.968782,17.1243,17.1334,-0.413813,-0.210949
