t,x0,y0,vx0,vy0,x1,y1,vx1,vy1,x2,y2,vx2,vy2,x3,y3,vx3,vy3
0,6.66667,6.66667,-0.63313,0.593086,6.66667,13.3333,0.1937,0.559382,13.3333,6.66667,-0.80005,-0.108334,13.3333,13.3333,-0.332583,-0.0815022
0.005,6.6635,6.66963,-0.63313,0.593086,6.66764,13.3361,0.193701,0.559382,13.3293,6.66612,-0.80005,-0.108334,13.3317,13.3329,-0.332583,-0.0815024
0.01,6.66034,6.6726,-0.63313,0.593086,6.6686,13.3389,0.193701,0.559382,13.3253,6.66558,-0.800051,-0.108334,13.33,13.3325,-0.332583,-0.0815027
0.015,6.65717,6.67556,-0.63313,0.593087,6.66957,13.3417,0.193701,0.559381,13.3213,6.66504,-0.800051,-0.108334,13.3283,13.3321,-0.332583,-0.0815029
0.02,6.654,6.67853,-0.63313,0.593087,6.67054,13.3445,0.193701,0.559381,13.3173,6.6645,-0.800051,-0.108334,13.3267,13.3317,-0.332584,-0.0815031
0.025,6.65084,6.68149,-0.633129,0.593087,6.67151,13.3473,0.193701,0.559381,13.3133,6.66396,-0.800051,-0.108333,13.325,13.3313,-0.332584,-0.0815033
0.03,6.64767,6.68446,-0.633129,0.593087,6.67248,13.3501,0.193702,0.559381,13.3093,6.66342,-0.800051,-0.108333,13.3234,13.3309,-0.332584,-0.0815035
0.035,6.64451,6.68742,-0.633129,0.593087,6.67345,13.3529,0.193702,0.55938,13.3053,6.66287,-0.800052,-0.108333,13.3217,13.3305,-0.332584,-0.0815037
0.04,6.64134,6.69039,-0.633129,0.593088,6.67441,13.3557,0.193702,0.55938,13.3013,6.66233,-0.800052,-0.108333,13.32,13.3301,-0.332585,-0.081504
0.045,6.63818,6.69336,-0.633128,0.593088,6.67538,13.3585,0.193702,0.55938,13.2973,6.66179,-0.800052,-0.108333,13.3184,13.3297,-0.332585,-0.0815042
0.05,6.63501,6.69632,-0.633128,0.593088,6.67635,13.3613,0.193703,0.55938,13.2933,6.66125,-0.800052,-0.108332,13.3167,13.3293,-0.332585,-0.0815044
0.055,6.63184,6.69929,-0.633128,0.593088,6.67732,13.3641,0.193703,0.55938,13.2893,6.66071,-0.800053,-0.108332,13.315,13.3289,-0.332585,-0.0815046
0.06,6.62868,6.70225,-0.633128,0.593089,6.67829,13.3669,0.193703,0.559379,13.2853,6.66017,-0.800053,-0.108332,13.3134,13.3284,-0.332585,-0.0815048
0.065,6.62551,6.70522,-0.633128,0.593089,6.67926,13.3697,0.193703,0.559379,13.2813,6.65963,-0.800053,-0.108332,13.3117,13.328,-0.332586,-0.081505
0.07,6.62235,6.70818,-0.633127,0.593089,6.68023,13.3725,0.193703,0.559379,13.2773,6.65908,-0.800053,-0.108331,13.3101,13.3276,-0.332586,-0.0815053
0.075,6.61918,6.71115,-0.633127,0.593089,6.68119,13.3753,0.193704,0.559379,13.2733,6.65854,-0.800053,-0.108331,13.3084,13.3272,-0.332586,-0.0815055
0.08,6.61602,6.71411,-0.633127,0.593089,6.68216,13.3781,0.193704,0.559378,13.2693,6.658,-0.800054,-0.108331,13.3067,13.3268,-0.332586,-0.0815057
0.085,6.61285,6.71708,-0.633127,0.59309,6.68313,13.3809,0.193704,0.559378,13.2653,6.65746,-0.800054,-0.108331,13.3051,13.3264,-0.332587,-0.0815059
0.09,6.60969,6.72004,-0.633126,0.59309,6.6841,13.3837,0.193704,0.559378,13.2613,6.65692,-0.800054,-0.108331,13.3034,13.326,-0.332587,-0.0815061
0.095,6.60652,6.72301,-0.633126,0.59309,6.68507,13.3865,0.193705,0.559378,13.2573,6.65638,-0.800054,-0.10833,13.3017,13.3256,-0.332587,-0.0815063
0.1,6.60335,6.72598,-0.633126,0.59309,6.68604,13.3893,0.193705,0.559378,13.2533,6.65583,-0.800055,-0.10833,13.3001,13.3252,-0.332587,-0.0815066
0.105,6.60019,6.72894,-0.633126,0.593091,6.68701,13.3921,0.193705,0.559377,13.2493,6.65529,-0.800055,-0.10833,13.2984,13.3248,-0.332587,-0.0815068
0.11,6.59702,6.73191,-0.633126,0.593091,6.68797,13.3949,0.193705,0.559377,13.2453,6.65475,-0.800055,-0.10833,13.2967,13.3244,-0.332588,-0.081507
0.115,6.59386,6.73487,-0.633125,0.593091,6.68894,13.3977,0.193705,0.559377,13.2413,6.65421,-0.800055,-0.108329,13.2951,13.324,-0.332588,-0.0815072
0.12,6.59069,6.73784,-0.633125,0.593091,6.68991,13.4005,0.193706,0.559377,13.2373,6.65367,-0.800055,-0.108329,13.2934,13.3236,-0.332588,-0.0815074
0.125,6.58753,6.7408,-0.633125,0.593091,6.69088,13.4033,0.193706,0.559377,13.2333,6.65313,-0.800056,-0.108329,13.2918,13.3231,-0.332588,-0.0815076
0.13,6.58436,6.74377,-0.633125,0.593092,6.69185,13.4061,0.193706,0.559376,13.2293,6.65258,-0.800056,-0.108329,13.2901,13.3227,-0.332589,-0.0815078
0.135,6.58119,6.74673,-0.633124,0.593092,6.69282,13.4088,0.193706,0.559376,13.2253,6.65204,-0.800056,-0.108329,13.2884,13.3223,-0.332589,-0.0815081
0.14,6.57803,6.7497,-0.633124,0.593092,6.69379,13.4116,0.193707,0.559376,13.2213,6.6515,-0.800056,-0.108328,13.2868,13.3219,-0.332589,-0.0815083
0.145,6.57486,6.75266,-0.633124,0.593092,6.69475,13.4144,0.193707,0.559376,13.2173,6.65096,-0.800057,-0.108328,13.2851,13.3215,-0.332589,-0.0815085
0.15,6.5717,6.75563,-0.633124,0.593092,6.69572,13.4172,0.193707,0.559375,13.2133,6.65042,-0.800057,-0.108328,13.2834,13.3211,-0.33259,-0.0815087
